0,EUR/USD,USD,100000,10,2,4,$
1,GBP/USD,USD,100000,10,3,4,$
2,AUD/USD,USD,100000,10,3,4,$
3,NZD/USD,USD,100000,10,6,4,$
4,,,0,0,0,0,
